n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
128,10,6,0.957,0.96,0.92,0.682,0.647,0.465
128,10,8,0.955,0.955,0.912,0.687,0.658,0.481
128,10,10,0.947,0.946,0.896,0.688,0.656,0.478
128,20,2,1.0,1.0,0.999,0.676,0.657,0.474
128,20,4,0.997,0.998,0.995,0.67,0.656,0.471
128,20,6,0.994,0.995,0.989,0.662,0.643,0.45
128,20,8,0.99,0.991,0.981,0.674,0.649,0.467
128,20,10,0.985,0.987,0.971,0.697,0.644,0.479
128,30,2,1.0,1.0,1.0,0.681,0.64,0.463
128,30,4,0.998,0.998,0.996,0.69,0.656,0.479
128,30,6,0.994,0.995,0.989,0.678,0.647,0.463
128,30,8,0.99,0.991,0.981,0.681,0.642,0.468
128,30,10,0.984,0.987,0.971,0.685,0.652,0.47
128,40,2,1.0,1.0,1.0,0.671,0.642,0.46
128,40,4,0.998,0.998,0.996,0.688,0.656,0.476
128,40,6,0.994,0.995,0.989,0.676,0.649,0.463
128,40,8,0.99,0.991,0.981,0.681,0.642,0.468
128,40,10,0.984,0.987,0.971,0.685,0.652,0.47
128,50,2,1.0,1.0,1.0,0.671,0.642,0.46
128,50,4,0.998,0.998,0.996,0.688,0.656,0.476
128,50,6,0.994,0.995,0.989,0.676,0.649,0.463
128,50,8,0.99,0.991,0.981,0.681,0.642,0.468
128,50,10,0.984,0.987,0.971,0.685,0.652,0.47
128,60,2,1.0,1.0,1.0,0.671,0.642,0.46
128,60,4,0.998,0.998,0.996,0.688,0.656,0.476
128,60,6,0.994,0.995,0.989,0.676,0.649,0.463
128,60,8,0.99,0.991,0.981,0.681,0.642,0.468
128,60,10,0.984,0.987,0.971,0.685,0.652,0.47
128,70,2,1.0,1.0,1.0,0.671,0.642,0.46
128,70,4,0.998,0.998,0.996,0.688,0.656,0.476
128,70,6,0.994,0.995,0.989,0.676,0.649,0.463
128,70,8,0.99,0.991,0.981,0.681,0.642,0.468
128,70,10,0.984,0.987,0.971,0.685,0.652,0.47
128,80,2,1.0,1.0,1.0,0.671,0.642,0.46
128,80,4,0.998,0.998,0.996,0.688,0.656,0.476
128,80,6,0.994,0.995,0.989,0.676,0.649,0.463
128,80,8,0.99,0.991,0.981,0.681,0.642,0.468
128,80,10,0.984,0.987,0.971,0.685,0.652,0.47
128,90,2,1.0,1.0,1.0,0.671,0.642,0.46
128,90,4,0.998,0.998,0.996,0.688,0.656,0.476
128,90,6,0.994,0.995,0.989,0.676,0.649,0.463
128,90,8,0.99,0.991,0.981,0.681,0.642,0.468
128,90,10,0.984,0.987,0.971,0.685,0.652,0.47
128,100,2,1.0,1.0,1.0,0.671,0.642,0.46
128,100,4,0.998,0.998,0.996,0.688,0.656,0.476
128,100,6,0.994,0.995,0.989,0.676,0.649,0.463
128,100,8,0.99,0.991,0.981,0.681,0.642,0.468
128,100,10,0.984,0.987,0.971,0.685,0.652,0.47
256,10,2,0.973,0.972,0.947,0.69,0.655,0.478
256,10,4,0.967,0.965,0.933,0.693,0.661,0.485
256,10,6,0.961,0.96,0.923,0.691,0.654,0.48
256,10,8,0.955,0.956,0.913,0.692,0.662,0.49
256,10,10,0.95,0.947,0.9,0.692,0.659,0.487
256,20,2,1.0,1.0,1.0,0.674,0.656,0.467
256,20,4,0.997,0.998,0.995,0.687,0.652,0.477
256,20,6,0.995,0.995,0.99,0.685,0.647,0.47
256,20,8,0.99,0.992,0.983,0.692,0.645,0.473
256,20,10,0.986,0.987,0.973,0.688,0.651,0.476
256,30,2,1.0,1.0,1.0,0.681,0.639,0.465
256,30,4,0.998,0.998,0.996,0.692,0.651,0.476
256,30,6,0.994,0.995,0.99,0.684,0.659,0.474
256,30,8,0.99,0.992,0.982,0.691,0.641,0.47
256,30,10,0.984,0.988,0.972,0.69,0.655,0.474
256,40,2,1.0,1.0,1.0,0.678,0.64,0.464
256,40,4,0.998,0.998,0.996,0.692,0.651,0.473
256,40,6,0.994,0.995,0.99,0.686,0.66,0.476
256,40,8,0.99,0.992,0.982,0.691,0.641,0.47
256,40,10,0.985,0.988,0.973,0.688,0.654,0.472
256,50,2,1.0,1.0,1.0,0.678,0.64,0.464
256,50,4,0.998,0.998,0.996,0.692,0.651,0.473
256,50,6,0.994,0.995,0.99,0.686,0.66,0.476
256,50,8,0.99,0.992,0.982,0.691,0.641,0.47
256,50,10,0.985,0.988,0.973,0.688,0.654,0.472
256,60,2,1.0,1.0,1.0,0.678,0.64,0.464
256,60,4,0.998,0.998,0.996,0.692,0.651,0.473
256,60,6,0.994,0.995,0.99,0.686,0.66,0.476
256,60,8,0.99,0.992,0.982,0.691,0.641,0.47
256,60,10,0.985,0.988,0.973,0.688,0.654,0.472
256,70,2,1.0,1.0,1.0,0.678,0.64,0.464
256,70,4,0.998,0.998,0.996,0.692,0.651,0.473
256,70,6,0.994,0.995,0.99,0.686,0.66,0.476
256,70,8,0.99,0.992,0.982,0.691,0.641,0.47
256,70,10,0.985,0.988,0.973,0.688,0.654,0.472
256,80,2,1.0,1.0,1.0,0.678,0.64,0.464
256,80,4,0.998,0.998,0.996,0.692,0.651,0.473
256,80,6,0.994,0.995,0.99,0.686,0.66,0.476
256,80,8,0.99,0.992,0.982,0.691,0.641,0.47
256,80,10,0.985,0.988,0.973,0.688,0.654,0.472
256,90,2,1.0,1.0,1.0,0.678,0.64,0.464
256,90,4,0.998,0.998,0.996,0.692,0.651,0.473
256,90,6,0.994,0.995,0.99,0.686,0.66,0.476
256,90,8,0.99,0.992,0.982,0.691,0.641,0.47
256,90,10,0.985,0.988,0.973,0.688,0.654,0.472
256,100,2,1.0,1.0,1.0,0.678,0.64,0.464
256,100,4,0.998,0.998,0.996,0.692,0.651,0.473
256,100,6,0.994,0.995,0.99,0.686,0.66,0.476
256,100,8,0.99,0.992,0.982,0.691,0.641,0.47
256,100,10,0.985,0.988,0.973,0.688,0.654,0.472
512,10,2,0.974,0.971,0.947,0.691,0.658,0.487
512,10,4,0.969,0.967,0.937,0.686,0.657,0.481
512,10,6,0.962,0.962,0.926,0.695,0.662,0.489
512,10,8,0.956,0.956,0.915,0.7,0.661,0.497
512,10,10,0.949,0.948,0.9,0.692,0.662,0.485
512,20,2,1.0,1.0,1.0,0.687,0.656,0.475
512,20,4,0.998,0.998,0.996,0.689,0.65,0.477
512,20,6,0.995,0.996,0.99,0.689,0.653,0.482
512,20,8,0.991,0.993,0.983,0.693,0.65,0.479
512,20,10,0.985,0.988,0.973,0.685,0.656,0.478
512,30,2,1.0,1.0,1.0,0.685,0.647,0.476
512,30,4,0.998,0.999,0.997,0.69,0.651,0.476
512,30,6,0.994,0.995,0.99,0.692,0.652,0.478
512,30,8,0.99,0.992,0.983,0.694,0.653,0.483
512,30,10,0.985,0.988,0.973,0.691,0.654,0.477
512,40,2,1.0,1.0,1.0,0.686,0.647,0.473
512,40,4,0.998,0.998,0.996,0.69,0.651,0.476
512,40,6,0.994,0.996,0.99,0.691,0.653,0.479
512,40,8,0.99,0.992,0.983,0.693,0.652,0.482
512,40,10,0.985,0.988,0.973,0.691,0.654,0.477
512,50,2,1.0,1.0,1.0,0.686,0.647,0.473
512,50,4,0.998,0.998,0.996,0.69,0.651,0.476
512,50,6,0.994,0.996,0.99,0.691,0.653,0.479
512,50,8,0.99,0.992,0.983,0.693,0.652,0.482
512,50,10,0.985,0.988,0.973,0.691,0.654,0.477
512,60,2,1.0,1.0,1.0,0.686,0.647,0.473
512,60,4,0.998,0.998,0.996,0.69,0.651,0.476
512,60,6,0.994,0.996,0.99,0.691,0.653,0.479
512,60,8,0.99,0.992,0.983,0.693,0.652,0.482
512,60,10,0.985,0.988,0.973,0.691,0.654,0.477
512,70,2,1.0,1.0,1.0,0.686,0.647,0.473
512,70,4,0.998,0.998,0.996,0.69,0.651,0.476
512,70,6,0.994,0.996,0.99,0.691,0.653,0.479
512,70,8,0.99,0.992,0.983,0.693,0.652,0.482
512,70,10,0.985,0.988,0.973,0.691,0.654,0.477
512,80,2,1.0,1.0,1.0,0.686,0.647,0.473
512,80,4,0.998,0.998,0.996,0.69,0.651,0.476
512,80,6,0.994,0.996,0.99,0.691,0.653,0.479
512,80,8,0.99,0.992,0.983,0.693,0.652,0.482
512,80,10,0.985,0.988,0.973,0.691,0.654,0.477
512,90,2,1.0,1.0,1.0,0.686,0.647,0.473
512,90,4,0.998,0.998,0.996,0.69,0.651,0.476
512,90,6,0.994,0.996,0.99,0.691,0.653,0.479
512,90,8,0.99,0.992,0.983,0.693,0.652,0.482
512,90,10,0.985,0.988,0.973,0.691,0.654,0.477
512,100,2,1.0,1.0,1.0,0.686,0.647,0.473
512,100,4,0.998,0.998,0.996,0.69,0.651,0.476
512,100,6,0.994,0.996,0.99,0.691,0.653,0.479
512,100,8,0.99,0.992,0.983,0.693,0.652,0.482
512,100,10,0.985,0.988,0.973,0.691,0.654,0.477
1024,10,2,0.975,0.973,0.949,0.692,0.66,0.486
1024,10,4,0.97,0.967,0.938,0.687,0.655,0.481
1024,10,6,0.963,0.961,0.926,0.694,0.658,0.487
1024,10,8,0.957,0.956,0.916,0.696,0.66,0.492
1024,10,10,0.951,0.948,0.903,0.69,0.658,0.486
1024,20,2,1.0,1.0,1.0,0.691,0.661,0.482
1024,20,4,0.998,0.999,0.996,0.688,0.648,0.477
1024,20,6,0.994,0.995,0.99,0.693,0.652,0.478
1024,20,8,0.991,0.993,0.983,0.691,0.654,0.478
1024,20,10,0.986,0.987,0.973,0.694,0.662,0.492
1024,30,2,1.0,1.0,1.0,0.686,0.655,0.479
1024,30,4,0.998,0.999,0.997,0.688,0.652,0.478
1024,30,6,0.995,0.996,0.99,0.691,0.658,0.483
1024,30,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,30,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,40,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,40,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,40,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,40,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,40,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,50,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,50,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,50,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,50,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,50,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,60,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,60,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,60,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,60,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,60,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,70,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,70,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,70,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,70,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,70,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,80,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,80,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,80,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,80,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,80,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,90,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,90,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,90,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,90,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,90,10,0.986,0.988,0.974,0.698,0.66,0.489
1024,100,2,1.0,1.0,1.0,0.687,0.653,0.48
1024,100,4,0.998,0.999,0.997,0.688,0.652,0.479
1024,100,6,0.995,0.996,0.991,0.692,0.656,0.482
1024,100,8,0.991,0.992,0.983,0.685,0.656,0.479
1024,100,10,0.986,0.988,0.974,0.698,0.66,0.489
2048,10,2,0.974,0.974,0.949,0.693,0.656,0.486
2048,10,4,0.969,0.968,0.938,0.69,0.66,0.487
2048,10,6,0.964,0.962,0.928,0.693,0.657,0.486
2048,10,8,0.958,0.957,0.917,0.696,0.655,0.489
2048,10,10,0.951,0.949,0.903,0.692,0.656,0.488
2048,20,2,1.0,1.0,1.0,0.693,0.652,0.48
2048,20,4,0.998,0.999,0.997,0.69,0.649,0.477
2048,20,6,0.994,0.996,0.99,0.696,0.654,0.483
2048,20,8,0.991,0.993,0.983,0.692,0.649,0.478
2048,20,10,0.986,0.987,0.973,0.691,0.656,0.485
2048,30,2,1.0,1.0,1.0,0.688,0.655,0.479
2048,30,4,0.998,0.999,0.997,0.691,0.656,0.482
2048,30,6,0.995,0.996,0.99,0.692,0.652,0.479
2048,30,8,0.991,0.993,0.983,0.693,0.653,0.48
2048,30,10,0.985,0.987,0.973,0.698,0.656,0.487
2048,40,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,40,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,40,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,40,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,40,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,50,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,50,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,50,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,50,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,50,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,60,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,60,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,60,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,60,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,60,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,70,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,70,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,70,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,70,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,70,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,80,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,80,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,80,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,80,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,80,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,90,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,90,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,90,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,90,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,90,10,0.986,0.987,0.973,0.698,0.656,0.487
2048,100,2,1.0,1.0,1.0,0.69,0.656,0.483
2048,100,4,0.998,0.999,0.997,0.689,0.654,0.479
2048,100,6,0.995,0.996,0.99,0.692,0.651,0.479
2048,100,8,0.991,0.993,0.984,0.693,0.653,0.48
2048,100,10,0.986,0.987,0.973,0.698,0.656,0.487
4096,10,2,0.974,0.973,0.948,0.693,0.66,0.488
4096,10,4,0.969,0.968,0.939,0.692,0.656,0.485
4096,10,6,0.963,0.962,0.927,0.694,0.653,0.484
4096,10,8,0.958,0.956,0.916,0.695,0.654,0.487
4096,10,10,0.952,0.949,0.904,0.694,0.656,0.487
4096,20,2,1.0,1.0,1.0,0.687,0.658,0.481
4096,20,4,0.998,0.998,0.996,0.691,0.651,0.479
4096,20,6,0.994,0.996,0.99,0.694,0.653,0.482
4096,20,8,0.991,0.992,0.983,0.693,0.652,0.48
4096,20,10,0.986,0.987,0.973,0.69,0.658,0.486
4096,30,2,1.0,1.0,1.0,0.688,0.658,0.481
4096,30,4,0.998,0.998,0.997,0.69,0.651,0.477
4096,30,6,0.995,0.996,0.99,0.691,0.653,0.481
4096,30,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,30,10,0.986,0.988,0.974,0.692,0.656,0.486
4096,40,2,1.0,1.0,1.0,0.689,0.655,0.48
4096,40,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,40,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,40,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,40,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,50,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,50,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,50,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,50,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,50,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,60,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,60,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,60,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,60,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,60,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,70,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,70,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,70,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,70,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,70,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,80,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,80,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,80,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,80,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,80,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,90,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,90,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,90,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,90,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,90,10,0.986,0.988,0.974,0.693,0.656,0.487
4096,100,2,1.0,1.0,1.0,0.689,0.656,0.48
4096,100,4,0.998,0.998,0.996,0.691,0.65,0.477
4096,100,6,0.994,0.996,0.99,0.691,0.654,0.481
4096,100,8,0.991,0.993,0.983,0.693,0.654,0.481
4096,100,10,0.986,0.988,0.974,0.693,0.656,0.487
